num,PNMOS,Wfin [nm],amp.,corr.x,corr.y,alpha,Ioff,IDSAT,IDLIN,IDLO,IDHI,VTSAT,VTLIN,SS,DIBL(mV),sigma(VTSAT)[mV]
,N,7,0.625,17.007,173.857,0.672,2.82E-12,4.1E-05,1.68E-05,7.72E-07,3.99E-05,0.338,0.346,62.065,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.67E-12,4.1E-05,1.63E-05,7.72E-07,3.99E-05,0.338,0.347,61.949,13.8462,
,N,7,0.625,17.007,173.857,0.672,6.9E-13,3.6E-05,1.37E-05,3.12E-07,3.42E-05,0.367,0.375,60.842,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.3E-12,4.2E-05,1.6E-05,4.95E-07,4.02E-05,0.353,0.36,61.25,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.36E-12,4.2E-05,1.58E-05,5.14E-07,4.03E-05,0.351,0.36,61.316,13.8462,
,N,7,0.625,17.007,173.857,0.672,7.54E-13,3.36E-05,1.3E-05,3.48E-07,3.26E-05,0.364,0.373,60.765,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.57E-12,4E-05,1.5E-05,5.53E-07,3.87E-05,0.349,0.356,61.427,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.86E-12,3.98E-05,1.65E-05,6.02E-07,3.88E-05,0.346,0.353,61.704,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.26E-12,3.9E-05,1.52E-05,7.13E-07,3.79E-05,0.341,0.349,61.565,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.09E-12,4.28E-05,1.65E-05,6.9E-07,4.15E-05,0.342,0.35,61.616,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.28E-12,4.19E-05,1.58E-05,7.1E-07,4.04E-05,0.341,0.349,61.679,12.3077,
,N,7,0.625,17.007,173.857,0.672,4.21E-12,4.33E-05,1.71E-05,9.72E-07,4.19E-05,0.33,0.341,62.548,16.9231,
,N,7,0.625,17.007,173.857,0.672,5.36E-12,4.25E-05,1.7E-05,1.08E-06,4.11E-05,0.326,0.337,62.892,16.9231,
,N,7,0.625,17.007,173.857,0.672,3.47E-12,4.31E-05,1.74E-05,9.18E-07,4.19E-05,0.332,0.343,62.122,16.9231,
,N,7,0.625,17.007,173.857,0.672,1.16E-12,3.51E-05,1.43E-05,4.27E-07,3.45E-05,0.358,0.363,61.254,7.6923,
,N,7,0.625,17.007,173.857,0.672,1.36E-12,4.2E-05,1.71E-05,4.66E-07,4.08E-05,0.355,0.361,61.495,9.2308,
,N,7,0.625,17.007,173.857,0.672,2.04E-12,3.88E-05,1.46E-05,6.79E-07,3.76E-05,0.343,0.35,61.414,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.06E-12,4.3E-05,1.66E-05,6.83E-07,4.14E-05,0.342,0.352,61.576,15.3846,
,N,7,0.625,17.007,173.857,0.672,2.91E-12,4.3E-05,1.72E-05,8.23E-07,4.18E-05,0.336,0.345,61.954,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.64E-12,4.21E-05,1.53E-05,5.87E-07,4.02E-05,0.347,0.356,61.369,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.98E-12,4.43E-05,1.75E-05,8.3E-07,4.28E-05,0.336,0.345,62.085,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.76E-12,3.99E-05,1.57E-05,6.2E-07,3.88E-05,0.345,0.353,61.349,12.3077,
,N,7,0.625,17.007,173.857,0.672,4.4E-12,4.45E-05,1.81E-05,9.87E-07,4.31E-05,0.329,0.34,62.647,16.9231,
,N,7,0.625,17.007,173.857,0.672,1.97E-12,4.25E-05,1.62E-05,6.34E-07,4.11E-05,0.345,0.351,61.586,9.2308,
,N,7,0.625,17.007,173.857,0.672,2.6E-12,4.24E-05,1.71E-05,7.4E-07,4.1E-05,0.34,0.349,61.961,13.8462,
,N,7,0.625,17.007,173.857,0.672,3.28E-12,4.25E-05,1.67E-05,8.82E-07,4.12E-05,0.334,0.343,62.041,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.38E-12,4.31E-05,1.79E-05,7.13E-07,4.2E-05,0.341,0.35,61.97,13.8462,
